place,bu,status,hydrostaticTest,location,email,type,kind,area,registerDate,id,country,site
ชั้น R/P Z1M32,th,Active,2009,-,Cement(N),extinguisher,Dry Chemical,ผลิตปูนซีเมนต์,2004,PLANT3-CM3-D1-3-03No.3,thailand,plant3
ข้างท้ายสายพาน U1U06,th,Active,2008,-,Cement(N),extinguisher,Dry Chemical,ผลิตปูนซีเมนต์,2003,PLANT3-CM3-D1-3-04No.1,thailand,plant3
ข้างท้ายสายพาน U1U06,th,Active,2003,-,Cement(N),extinguisher,Dry Chemical,ผลิตปูนซีเมนต์,1998,PLANT3-CM3-D1-3-04No.2,thailand,plant3
ข้างท้ายสายพาน U1U06,th,Active,n-a,-,Cement(N),extinguisher,Dry Chemical,ผลิตปูนซีเมนต์,ถังหาย,PLANT3-CM3-D1-3-04No.3,thailand,plant3
ข้าง Motor Z1M01,th,Active,2018,-,Cement(N),extinguisher,Dry Chemical,ผลิตปูนซีเมนต์,2013,PLANT3-CM3-D1-3-05No.1,thailand,plant3
ข้าง Motor Z1M01,th,Active,2022,-,Cement(N),extinguisher,Dry Chemical,ผลิตปูนซีเมนต์,2017,PLANT3-CM3-D1-3-05No.2,thailand,plant3
ข้าง Motor Z1M01,th,Active,n-a,-,Cement(N),extinguisher,Dry Chemical,ผลิตปูนซีเมนต์,ไม่พบข้อมูลปีที่ผลิต,PLANT3-CM3-D1-3-05No.3,thailand,plant3
ท้ายสายพาน Z5J11,th,Active,2017,-,Cement(N),extinguisher,Dry Chemical,ผลิตปูนซีเมนต์,2012,PLANT3-CM3-D1-3-06No.1,thailand,plant3
ท้ายสายพาน Z5J11,th,Active,2003,-,Cement(N),extinguisher,Dry Chemical,ผลิตปูนซีเมนต์,1998,PLANT3-CM3-D1-3-06No.2,thailand,plant3
ท้ายสายพาน Z5J11,th,Active,n-a,-,Cement(N),extinguisher,Dry Chemical,ผลิตปูนซีเมนต์,ถังหาย,PLANT3-CM3-D1-3-06No.3,thailand,plant3
ข้างท้ายสายพาน Z3A13,th,Active,2017,-,Cement(N),extinguisher,Dry Chemical,ผลิตปูนซีเมนต์,2012,PLANT3-CM3-D1-3-07No.1,thailand,plant3
ข้างท้ายสายพาน Z3A13,th,Active,2021,-,Cement(N),extinguisher,Dry Chemical,ผลิตปูนซีเมนต์,2016,PLANT3-CM3-D1-3-07No.2,thailand,plant3
ข้างท้ายสายพาน Z3A13,th,Active,2024,-,Cement(N),extinguisher,Dry Chemical,ผลิตปูนซีเมนต์,2019,PLANT3-CM3-D1-3-07No.3,thailand,plant3
โม่ Gypsum,th,Active,2003,-,Cement(N),extinguisher,Dry Chemical,ผลิตปูนซีเมนต์,1998,PLANT3-CM3-D1-3-08No.1,thailand,plant3
โม่ Gypsum,th,Active,2003,-,Cement(N),extinguisher,Dry Chemical,ผลิตปูนซีเมนต์,1998,PLANT3-CM3-D1-3-08No.2,thailand,plant3
โม่ Gypsum,th,Active,2003,-,Cement(N),extinguisher,Dry Chemical,ผลิตปูนซีเมนต์,1998,PLANT3-CM3-D1-3-08No.3,thailand,plant3
หน้าห้อง Compressor N3,th,Active,ไม่พบข้อมูลปีที่ผลิต,-,Cement(N),extinguisher,Dry Chemical,ผลิตปูนซีเมนต์,*ถัง/ตู้ชำรุด,PLANT3-CM3-D1-3-09No.1,thailand,plant3
หน้าห้อง Compressor N3,th,Active,ไม่พบข้อมูลปีที่ผลิต,-,Cement(N),extinguisher,Dry Chemical,ผลิตปูนซีเมนต์,*ถัง/ตู้ชำรุด,PLANT3-CM3-D1-3-09No.2,thailand,plant3
หน้าห้อง Compressor N3,th,Active,ไม่พบข้อมูลปีที่ผลิต,-,Cement(N),extinguisher,Dry Chemical,ผลิตปูนซีเมนต์,*ถัง/ตู้ชำรุด,PLANT3-CM3-D1-3-09No.3,thailand,plant3
หน้าห้อง Compressor N6,th,Active,ไม่พบข้อมูลปีที่ผลิต,-,Cement(N),extinguisher,Dry Chemical,ผลิตปูนซีเมนต์,*ถัง/ตู้ชำรุด,PLANT3-CM3-D1-3-10No.1,thailand,plant3
หน้าห้อง Compressor N6,th,Active,ไม่พบข้อมูลปีที่ผลิต,-,Cement(N),extinguisher,Dry Chemical,ผลิตปูนซีเมนต์,*ถัง/ตู้ชำรุด,PLANT3-CM3-D1-3-10No.2,thailand,plant3
หน้าห้อง Compressor N6,th,Active,ไม่พบข้อมูลปีที่ผลิต,-,Cement(N),extinguisher,Dry Chemical,ผลิตปูนซีเมนต์,*ถัง/ตู้ชำรุด,PLANT3-CM3-D1-3-10No.3,thailand,plant3
ยอดสายพานและหัวสายพาน Z1U09,th,Active,2009,-,Cement(N),extinguisher,Dry Chemical,ผลิตปูนซีเมนต์,2004,PLANT3-CM3-D1-3-11No.1,thailand,plant3
ยอดสายพานและหัวสายพาน Z1U09,th,Active,2009,-,Cement(N),extinguisher,Dry Chemical,ผลิตปูนซีเมนต์,2004,PLANT3-CM3-D1-3-11No.2,thailand,plant3
ยอดสายพานและหัวสายพาน Z1U09,th,Active,n-a,-,Cement(N),extinguisher,Dry Chemical,ผลิตปูนซีเมนต์,ถังหาย,PLANT3-CM3-D1-3-11No.3,thailand,plant3
ชั้นสายพาน G2J10,th,Active,2019,-,Cement(N),extinguisher,Dry Chemical,ผลิตปูนซีเมนต์,2014,PLANT3-CM3-D1-2-12No.1,thailand,plant3
ชั้นสายพาน G2J10,th,Active,2019,-,Cement(N),extinguisher,Dry Chemical,ผลิตปูนซีเมนต์,2014,PLANT3-CM3-D1-2-12No.2,thailand,plant3
ชั้นสายพาน Z5J16,th,Active,2017,-,Cement(N),extinguisher,Dry Chemical,ผลิตปูนซีเมนต์,2012,PLANT3-CM3-D1-2-13No.1,thailand,plant3
ชั้นสายพาน Z5J16,th,Active,2022,-,Cement(N),extinguisher,Dry Chemical,ผลิตปูนซีเมนต์,2017,PLANT3-CM3-D1-2-13No.2,thailand,plant3
ชั้น Separator Z5S21,th,Active,2017,-,Cement(N),extinguisher,Dry Chemical,ผลิตปูนซีเมนต์,2012,PLANT3-CM3-D1-2-14No.1,thailand,plant3
ชั้น Separator Z5S21,th,Active,2022,-,Cement(N),extinguisher,Dry Chemical,ผลิตปูนซีเมนต์,2017,PLANT3-CM3-D1-2-14No.2,thailand,plant3
"ชั้น E.P. Z1, Z2",th,Active,2017,-,Cement(N),extinguisher,Dry Chemical,ผลิตปูนซีเมนต์,2012,PLANT3-CM3-D1-2-15No.1,thailand,plant3
"ชั้น E.P. Z1, Z2",th,Active,2024,-,Cement(N),extinguisher,Dry Chemical,ผลิตปูนซีเมนต์,2019,PLANT3-CM3-D1-2-15No.2,thailand,plant3
ชั้นสายพาน G1J11,th,Active,2017,-,Cement(N),extinguisher,Dry Chemical,ผลิตปูนซีเมนต์,2012,PLANT3-CM3-D1-2-16No.1,thailand,plant3
ชั้นสายพาน G1J11,th,Active,2022,-,Cement(N),extinguisher,Dry Chemical,ผลิตปูนซีเมนต์,2017,PLANT3-CM3-D1-2-16No.2,thailand,plant3
ชั้น P/C Z3M32,th,Active,2009,-,Cement(N),extinguisher,Dry Chemical,ผลิตปูนซีเมนต์,2004,PLANT3-CM3-D1-2-17No.1,thailand,plant3
ชั้น P/C Z3M32,th,Active,2022,-,Cement(N),extinguisher,Dry Chemical,ผลิตปูนซีเมนต์,2017,PLANT3-CM3-D1-2-17No.2,thailand,plant3
หน้าทางเข้าสำนักงาน Office Workshop,th,Active,2021,Work shop,ME3(Workshop)N,extinguisher,Dry Chemical,Preventive Maintenance & Planning,2016,PLANT3-ME3-D1-2-01No.1,thailand,plant3
หน้าทางเข้าสำนักงาน Office Workshop,th,Active,2022,Work shop,ME3(Workshop)N,extinguisher,Dry Chemical,Preventive Maintenance & Planning,2017,PLANT3-ME3-D1-2-01No.2,thailand,plant3
ข้างโรงซ่อม Work shop,th,Active,2022,Work shop,ME3(Workshop)N,extinguisher,Dry Chemical,Preventive Maintenance & Planning,2017,PLANT3-ME3-D1-2-02No.1,thailand,plant3
ข้างโรงซ่อม Work shop,th,Active,2027,Work shop,ME3(Workshop)N,extinguisher,Dry Chemical,Preventive Maintenance & Planning,2022,PLANT3-ME3-D1-2-02No.2,thailand,plant3
หน้าห้อง Roller Press,th,Active,2024,Work shop,ME3(Workshop)N,extinguisher,Dry Chemical,Preventive Maintenance & Planning,2019,PLANT3-ME3-D1-2-03No.1,thailand,plant3
หน้าห้อง Roller Press,th,Active,2005,Work shop,ME3(Workshop)N,extinguisher,Dry Chemical,Preventive Maintenance & Planning,2000,PLANT3-ME3-D1-2-03No.2,thailand,plant3
ข้างทางเดินเข้า โรงซ่อม Work shop,th,Active,1996,Work shop,ME3(Workshop)N,extinguisher,Dry Chemical,Preventive Maintenance & Planning,1991,PLANT3-ME3-D1-2-04No.1,thailand,plant3
ข้างทางเดินเข้า โรงซ่อม Work shop,th,Active,2027,Work shop,ME3(Workshop)N,extinguisher,Dry Chemical,Preventive Maintenance & Planning,2022,PLANT3-ME3-D1-2-04No.2,thailand,plant3
ข้างเครื่อง Press ภายในโรงซ่อม Workshop,th,Active,1999,Work shop,ME3(Workshop)N,extinguisher,Dry Chemical,Preventive Maintenance & Planning,1994,PLANT3-ME3-D1-2-05No.1,thailand,plant3
ข้างเครื่อง Press ภายในโรงซ่อม Workshop,th,Active,2020,Work shop,ME3(Workshop)N,extinguisher,Dry Chemical,Preventive Maintenance & Planning,2015,PLANT3-ME3-D1-2-05No.2,thailand,plant3
ลานเก็บเศษเหล็ก (ล่าง),th,Active,2027,Work shop,ME3(Workshop)N,extinguisher,Dry Chemical,Preventive Maintenance & Planning,2022,PLANT3-ME3-D1-2-08No.1,thailand,plant3
ลานเก็บเศษเหล็ก (ล่าง),th,Active,2027,Work shop,ME3(Workshop)N,extinguisher,Dry Chemical,Preventive Maintenance & Planning,2022,PLANT3-ME3-D1-2-08No.2,thailand,plant3
ห้อง Lubrication,th,Active,2021,Preventive Maintenance,ME3(Lubrication shop)N,extinguisher,Dry Chemical,Preventive Maintenance & Planning,2016,PLANT3-ME3-D1-2-06No.1,thailand,plant3
ห้อง Lubrication,th,Active,2021,Preventive Maintenance,ME3(Lubrication shop)N,extinguisher,Dry Chemical,Preventive Maintenance & Planning,2016,PLANT3-ME3-D1-2-06No.2,thailand,plant3
อาคารโรงเก็บถังเปล่า/Lubricant,th,Active,2025,Preventive Maintenance,ME3(Lubrication shop)N,extinguisher,Dry Chemical,Preventive Maintenance & Planning,2020,PLANT3-ME3-D1-2-07No.1,thailand,plant3
อาคารโรงเก็บถังเปล่า/Lubricant,th,Active,2022,Preventive Maintenance,ME3(Lubrication shop)N,extinguisher,Dry Chemical,Preventive Maintenance & Planning,2017,PLANT3-ME3-D1-2-07No.2,thailand,plant3
บริเวณสโมสร โรงงาน 3,th,Active,2007,หน่วยงานบริการโรงงาน,AV3(N),extinguisher,Dry Chemical,หน่วยงานบริการโรงงาน,2002,PLANT3-AV3-D1-2-01No.1,thailand,plant3
บริเวณสโมสร โรงงาน 3,th,Active,2004,หน่วยงานบริการโรงงาน,AV3(N),extinguisher,Dry Chemical,หน่วยงานบริการโรงงาน,1999,PLANT3-AV3-D1-2-01No.2,thailand,plant3
บริเวณ Work shop ชั้น 3,th,Active,2009,หน่วยงานบริการโรงงาน,AV3(N),extinguisher,Dry Chemical,หน่วยงานบริการโรงงาน,2004,PLANT3-AV3-D1-2-02No.1,thailand,plant3
บริเวณ Work shop ชั้น 3,th,Active,2007,หน่วยงานบริการโรงงาน,AV3(N),extinguisher,Dry Chemical,หน่วยงานบริการโรงงาน,2002,PLANT3-AV3-D1-2-02No.2,thailand,plant3
บริเวณ Work shop ชั้น 2,th,Active,2009,หน่วยงานบริการโรงงาน,AV3(N),extinguisher,Dry Chemical,หน่วยงานบริการโรงงาน,2004,PLANT3-AV3-D1-2-03No.1,thailand,plant3
บริเวณ Work shop ชั้น 2,th,Active,2009,หน่วยงานบริการโรงงาน,AV3(N),extinguisher,Dry Chemical,หน่วยงานบริการโรงงาน,2004,PLANT3-AV3-D1-2-03No.2,thailand,plant3
บริเวณหน้าอาคาร Work shop ชั้น 1,th,Active,2011,หน่วยงานบริการโรงงาน,AV3(N),extinguisher,Dry Chemical,หน่วยงานบริการโรงงาน,2006,PLANT3-AV3-D1-2-04No.1,thailand,plant3
บริเวณหน้าอาคาร Work shop ชั้น 1,th,Active,2009,หน่วยงานบริการโรงงาน,AV3(N),extinguisher,Dry Chemical,หน่วยงานบริการโรงงาน,2004,PLANT3-AV3-D1-2-04No.2,thailand,plant3
บริเวณทางขึ้นบันไดอาคาร Workshop ชั้น 1,th,Active,2011,หน่วยงานบริการโรงงาน,AV3(N),extinguisher,Dry Chemical,หน่วยงานบริการโรงงาน,2006,PLANT3-AV3-D1-2-05No.1,thailand,plant3
บริเวณทางขึ้นบันไดอาคาร Workshop ชั้น 1,th,Active,2011,หน่วยงานบริการโรงงาน,AV3(N),extinguisher,Dry Chemical,หน่วยงานบริการโรงงาน,2006,PLANT3-AV3-D1-2-05No.2,thailand,plant3
ห้องน้ำ CCR ชั้น 1,th,Active,2010,หน่วยงานบริการโรงงาน,AV3(N),extinguisher,Dry Chemical,หน่วยงานบริการโรงงาน,2005,PLANT3-AV3-C1-1-06No.1,thailand,plant3
ห้องน้ำ CCR ชั้น 2,th,Active,2009,หน่วยงานบริการโรงงาน,AV3(N),extinguisher,Dry Chemical,หน่วยงานบริการโรงงาน,2004,PLANT3-AV3-C1-1-07No.1,thailand,plant3
หน้าห้อง Control Room,th,Active,2024,หน่วยงานบริการโรงงาน,AV3(N),extinguisher,Dry Chemical,หน่วยงานบริการโรงงาน,2019,PLANT3-AV3-D1-1-09No.1,thailand,plant3
ป้อมยาม 2 รง.3,th,Active,2027,หน่วยงานบริการโรงงาน,AV3(N),extinguisher,Dry Chemical,หน่วยงานบริการโรงงาน,2022,PLANT3-AV3-D1-1-09No.2,thailand,plant3
ห้องบริการโรงงาน,th,Active,2026,หน่วยงานบริการโรงงาน,AV3(N),extinguisher,Dry Chemical,หน่วยงานบริการโรงงาน,2021,PLANT3-AV3-C2-1-10No.1,thailand,plant3
บริเวณหน้าห้อง Lab อาคาร Workshop ชั้น 1,th,Active,n-a,หน่วยงานควบคุมคุณภาพ,QC3(N),extinguisher,Dry Chemical,หน่วยงานควบคุมคุณภาพ,ไม่พบข้อมูล,PLANT3-QC3-C2-2-01No.1,thailand,plant3
บริเวณหน้าห้อง Lab อาคาร Workshop ชั้น 1,th,Active,2019,หน่วยงานควบคุมคุณภาพ,QC3(N),extinguisher,Dry Chemical,หน่วยงานควบคุมคุณภาพ,2014,PLANT3-QC3-C2-2-01No.2,thailand,plant3
Sub Raw Mill K6,th,Active,2007,ซ่อมไฟฟ้า 2 (Kiln),EE3-2 Kiln(N),extinguisher,Dry Chemical,ซ่อมไฟฟ้า,2002,PLANT3-EE3-C2-1-45No.1,thailand,plant3
Sub Raw Mill K5,th,Active,2007,ซ่อมไฟฟ้า 2 (Kiln),EE3-2 Kiln(N),extinguisher,Dry Chemical,ซ่อมไฟฟ้า,2002,PLANT3-EE3-C2-1-49No.1,thailand,plant3
Sub Raw Mill Feed,th,Active,2007,ซ่อมไฟฟ้า 2 (Kiln),EE3-2 Kiln(N),extinguisher,Dry Chemical,ซ่อมไฟฟ้า,2002,PLANT3-EE3-C2-1-50No.1,thailand,plant3
Sub Water Treatment K6,th,Active,2009,ซ่อมไฟฟ้า 2 (Kiln),EE3-2 Kiln(N),extinguisher,Dry Chemical,ซ่อมไฟฟ้า,2004,PLANT3-EE3-C2-1-03No.1,thailand,plant3
Sub Water Treatment K5,th,Active,1999,ซ่อมไฟฟ้า 2 (Kiln),EE3-2 Kiln(N),extinguisher,Dry Chemical,ซ่อมไฟฟ้า,1994,PLANT3-EE3-C2-1-04No.1,thailand,plant3
Sub Kiln K5,th,Active,2002,ซ่อมไฟฟ้า 2 (Kiln),EE3-2 Kiln(N),extinguisher,Dry Chemical,ซ่อมไฟฟ้า,1997,PLANT3-EE3-C2-1-05No.1,thailand,plant3
Sub Cooler K5,th,Active,2011,ซ่อมไฟฟ้า 2 (Kiln),EE3-2 Kiln(N),extinguisher,Dry Chemical,ซ่อมไฟฟ้า,2006,PLANT3-EE3-C2-1-06No.1,thailand,plant3
Sub Cooler K6,th,Active,2028,ซ่อมไฟฟ้า 2 (Kiln),EE3-2 Kiln(N),extinguisher,Dry Chemical,ซ่อมไฟฟ้า,2023,PLANT3-EE3-C2-1-09No.1,thailand,plant3
Sub Kiln K6,th,Active,2011,ซ่อมไฟฟ้า 2 (Kiln),EE3-2 Kiln(N),extinguisher,Dry Chemical,ซ่อมไฟฟ้า,2006,PLANT3-EE3-C2-1-10No.1,thailand,plant3
Sub Main E.P. K5,th,Active,2011,ซ่อมไฟฟ้า 2 (Kiln),EE3-2 Kiln(N),extinguisher,Dry Chemical,ซ่อมไฟฟ้า,2006,PLANT3-EE3-C2-1-36No.1,thailand,plant3
Sub Main E.P. K6,th,Active,2026,ซ่อมไฟฟ้า 2 (Kiln),EE3-2 Kiln(N),extinguisher,Dry Chemical,ซ่อมไฟฟ้า,2021,PLANT3-EE3-C2-1-52No.1,thailand,plant3
Oil Preparation,th,Active,2009,ซ่อมไฟฟ้า 2 (Kiln),EE3-2 Kiln(N),extinguisher,Dry Chemical,ซ่อมไฟฟ้า,2004,PLANT3-EE3-C2-1-55No.1,thailand,plant3
P/H K5 ชั้น 3 หน้า Sub ยาง,th,Active,2013,ซ่อมไฟฟ้า 2 (Kiln),EE3-2 Kiln(N),extinguisher,Dry Chemical,ซ่อมไฟฟ้า,2008,PLANT3-EE3-C2-2-56No.1,thailand,plant3
P/H K5 ชั้น 3 หน้า Sub ยาง,th,Active,2013,ซ่อมไฟฟ้า 2 (Kiln),EE3-2 Kiln(N),extinguisher,Dry Chemical,ซ่อมไฟฟ้า,2008,PLANT3-EE3-C2-2-56No.2,thailand,plant3
Cl bypass,th,Active,n-a,ซ่อมไฟฟ้า 2 (Kiln),EE3-2 Kiln(N),extinguisher,Dry Chemical,ซ่อมไฟฟ้า,ไม่พบข้อมูล,PLANT3-EE3-C2-1-58No.1,thailand,plant3
Sub Coal Mill K5,th,Active,2011,ซ่อมไฟฟ้า 2 (Coal Mill),EE3-2 CoalMill(N),extinguisher,Dry Chemical,ซ่อมไฟฟ้า,2006,PLANT3-EE3-C2-1-07No.1,thailand,plant3
Sub Coal Mill K6,th,Active,2011,ซ่อมไฟฟ้า 2 (Coal Mill),EE3-2 CoalMill(N),extinguisher,Dry Chemical,ซ่อมไฟฟ้า,2006,PLANT3-EE3-C2-1-08No.1,thailand,plant3
Sub E.P. Coal Mill K6,th,Active,2011,ซ่อมไฟฟ้า 2 (Coal Mill),EE3-2 CoalMill(N),extinguisher,Dry Chemical,ซ่อมไฟฟ้า,2006,PLANT3-EE3-C2-1-12No.1,thailand,plant3
Coal Stacker F2L01,th,Active,2014,ซ่อมไฟฟ้า 2 (Coal Mill),EE3-2 CoalMill(N),extinguisher,Dry Chemical,ซ่อมไฟฟ้า,2009,PLANT3-EE3-D1-1-13No.1,thailand,plant3
Coal Stacker F2L02,th,Active,2014,ซ่อมไฟฟ้า 2 (Coal Mill),EE3-2 CoalMill(N),extinguisher,Dry Chemical,ซ่อมไฟฟ้า,2009,PLANT3-EE3-D1-1-14No.1,thailand,plant3
Coal Reclaimer F1L03,th,Active,2014,ซ่อมไฟฟ้า 2 (Coal Mill),EE3-2 CoalMill(N),extinguisher,Dry Chemical,ซ่อมไฟฟ้า,2009,PLANT3-EE3-D1-1-15No.1,thailand,plant3
Coal Reclaimer F1L02,th,Active,2009,ซ่อมไฟฟ้า 2 (Coal Mill),EE3-2 CoalMill(N),extinguisher,Dry Chemical,ซ่อมไฟฟ้า,2004,PLANT3-EE3-D1-1-16No.1,thailand,plant3
Sub E.P. Coal Mill K5,th,Active,n-a,ซ่อมไฟฟ้า 2 (Coal Mill),EE3-2 CoalMill(N),extinguisher,Dry Chemical,ซ่อมไฟฟ้า,ไม่พบข้อมูล,PLANT3-EE3-C2-1-41No.1,thailand,plant3
Sub Coal Crusher,th,Active,n-a,ซ่อมไฟฟ้า 2 (Coal Mill),EE3-2 CoalMill(N),extinguisher,Dry Chemical,ซ่อมไฟฟ้า,ไม่พบข้อมูล,PLANT3-EE3-D1-1-51No.1,thailand,plant3
Coal stacker F1L01,th,Active,2025,ซ่อมไฟฟ้า 2 (Coal Mill),EE3-2 CoalMill(N),extinguisher,Dry Chemical,ซ่อมไฟฟ้า,2020,PLANT3-EE3-D1-1-48No.1,thailand,plant3
ห้อง Gas Analyzer K6;ชั้น 2 Main E.P.,th,Active,n-a,Instrument (ห้อง Gas analyser),Instru(N)-Sommai,extinguisher,Dry Chemical,ซ่อมไฟฟ้า,ไม่พบข้อมูลปีที่ผลิต,PLANT3-EE3-C2-1-11No.1,thailand,plant3
ห้อง Gas Analyzer K6;ชั้น 7 อาคาร P/H ด้าน A,th,Active,n-a,Instrument (ห้อง Gas analyser),Instru(N)-Sommai,extinguisher,Dry Chemical,ซ่อมไฟฟ้า,ไม่พบข้อมูลปีที่ผลิต,PLANT3-EE3-C2-1-33No.1,thailand,plant3
ห้อง Gas Analyzer K6;ชั้น 8 อาคาร P/H ด้าน B,th,Active,n-a,Instrument (ห้อง Gas analyser),Instru(N)-Sommai,extinguisher,Dry Chemical,ซ่อมไฟฟ้า,ไม่พบข้อมูลปีที่ผลิต,PLANT3-EE3-D2-1-34No.1,thailand,plant3
ห้อง Gas Analyzer K6;ชั้น 2 อาคาร Preheater,th,Active,n-a,Instrument (ห้อง Gas analyser),Instru(N)-Sommai,extinguisher,Dry Chemical,ซ่อมไฟฟ้า,ไม่พบข้อมูลปีที่ผลิต,PLANT3-EE3-D2-1-35No.1,thailand,plant3
ห้อง Gas Analyzer K5;อาคาร Main E.P.,th,Active,n-a,Instrument (ห้อง Gas analyser),Instru(N)-Sommai,extinguisher,Dry Chemical,ซ่อมไฟฟ้า,ไม่พบข้อมูลปีที่ผลิต,PLANT3-EE3-D1-1-37No.1,thailand,plant3
ห้อง Gas Analyzer K5;ชั้น 7 อาคาร P/H ด้าน A,th,Active,n-a,Instrument (ห้อง Gas analyser),Instru(N)-Sommai,extinguisher,Dry Chemical,ซ่อมไฟฟ้า,ไม่พบข้อมูลปีที่ผลิต,PLANT3-EE3-C2-1-38No.1,thailand,plant3
ห้อง Gas Analyzer K5;ชั้น 8 อาคาร P/H ด้าน B,th,Active,2026,Instrument (ห้อง Gas analyser),Instru(N)-Sommai,extinguisher,Dry Chemical,ซ่อมไฟฟ้า,2021,PLANT3-EE3-C2-1-39No.1,thailand,plant3
ห้อง Gas Analyzer K5;ชั้น 2 อาคาร Preheater,th,Active,n-a,Instrument (ห้อง Gas analyser),Instru(N)-Sommai,extinguisher,Dry Chemical,ซ่อมไฟฟ้า,ไม่พบข้อมูลปีที่ผลิต,PLANT3-EE3-C2-1-40No.1,thailand,plant3
อาคาร CCR ชั้น 1,th,Active,2010,Instrument (อาคาร CCR.),Instru(N)-SaNgiam,extinguisher,Dry Chemical,ซ่อมไฟฟ้า,2005,PLANT3-EE3-H1-4-42No.1,thailand,plant3
อาคาร CCR ชั้น 1,th,Active,2010,Instrument (อาคาร CCR.),Instru(N)-SaNgiam,extinguisher,Dry Chemical,ซ่อมไฟฟ้า,2005,PLANT3-EE3-H1-4-42No.2,thailand,plant3
อาคาร CCR ชั้น 1,th,Active,n-a,Instrument (อาคาร CCR.),Instru(N)-SaNgiam,extinguisher,Dry Chemical,ซ่อมไฟฟ้า,ไม่พบข้อมูล,PLANT3-EE3-H1-4-42No.3,thailand,plant3
อาคาร CCR ชั้น 1,th,Active,2016,Instrument (อาคาร CCR.),Instru(N)-SaNgiam,extinguisher,Dry Chemical,ซ่อมไฟฟ้า,2011,PLANT3-EE3-H1-4-42No.4,thailand,plant3
หน้าห้อง QC CCR.,th,Active,n-a,Instrument (อาคาร CCR.),Instru(N)-SaNgiam,extinguisher,Dry Chemical,ซ่อมไฟฟ้า,ไม่พบข้อมูล,PLANT3-EE3-H1-1-43No.1,thailand,plant3
หน้าห้อง Control Room,th,Active,n-a,Instrument (อาคาร CCR.),Instru(N)-SaNgiam,extinguisher,Dry Chemical,ซ่อมไฟฟ้า,ไม่พบข้อมูล,PLANT3-EE3-H1-1-44No.1,thailand,plant3
ห้อง Master CCR.,th,Active,2010,Instrument (อาคาร CCR.),Instru(N)-SaNgiam,extinguisher,Dry Chemical,ซ่อมไฟฟ้า,2005,PLANT3-EE3-C2-1-53No.1,thailand,plant3
ห้อง Master CCR.,th,Active,2010,Instrument (อาคาร CCR.),Instru(N)-SaNgiam,extinguisher,Dry Chemical,ซ่อมไฟฟ้า,2005,PLANT3-EE3-C2-1-54No.1,thailand,plant3
Main Station 115 KV,th,Active,2015,Power,Power(N),extinguisher,Dry Chemical,ซ่อมไฟฟ้า,2010,PLANT3-EE3-C2-3-01No.1,thailand,plant3
Main Station 115 KV,th,Active,2025,Power,Power(N),extinguisher,Dry Chemical,ซ่อมไฟฟ้า,2020,PLANT3-EE3-C2-3-01No.2,thailand,plant3
Main Station 115 KV,th,Active,2025,Power,Power(N),extinguisher,Dry Chemical,ซ่อมไฟฟ้า,2020,PLANT3-EE3-C2-3-01No.3,thailand,plant3
อาคาร Workshop,th,Active,2008,Power,Power(N),extinguisher,Dry Chemical,ซ่อมไฟฟ้า,2003,PLANT3-EE3-D1-4-02No.1,thailand,plant3
อาคาร Workshop,th,Active,2022,Power,Power(N),extinguisher,Dry Chemical,ซ่อมไฟฟ้า,2017,PLANT3-EE3-D1-4-02No.2,thailand,plant3
อาคาร Workshop,th,Active,2022,Power,Power(N),extinguisher,Dry Chemical,ซ่อมไฟฟ้า,2017,PLANT3-EE3-D1-4-02No.3,thailand,plant3
อาคาร Workshop,th,Active,2027,Power,Power(N),extinguisher,Dry Chemical,ซ่อมไฟฟ้า,2022,PLANT3-EE3-D1-4-02No.4,thailand,plant3
L/S Reclaimer A2L02,th,Active,2024,ซ่อมไฟฟ้า 1 (Crusher),EE3-1 Crusher(N),extinguisher,Dry Chemical,ซ่อมไฟฟ้า,2019,PLANT3-EE3-C1-1-17No.1,thailand,plant3
L/S Stacker A1L03,th,Active,2012,ซ่อมไฟฟ้า 1 (Crusher),EE3-1 Crusher(N),extinguisher,Dry Chemical,ซ่อมไฟฟ้า,2007,PLANT3-EE3-C2-1-18No.1,thailand,plant3
L/S Reclaimer A1L02,th,Active,2024,ซ่อมไฟฟ้า 1 (Crusher),EE3-1 Crusher(N),extinguisher,Dry Chemical,ซ่อมไฟฟ้า,2019,PLANT3-EE3-C1-1-19No.1,thailand,plant3
Shale Side Scraper C1L06,th,Active,2024,ซ่อมไฟฟ้า 1 (Crusher),EE3-1 Crusher(N),extinguisher,Dry Chemical,ซ่อมไฟฟ้า,2019,PLANT3-EE3-C1-1-20No.1,thailand,plant3
Shale Stacker C1L03,th,Active,2021,ซ่อมไฟฟ้า 1 (Crusher),EE3-1 Crusher(N),extinguisher,Dry Chemical,ซ่อมไฟฟ้า,2016,PLANT3-EE3-C1-1-21No.1,thailand,plant3
Shale Reclaimer C1L05,th,Active,2024,ซ่อมไฟฟ้า 1 (Crusher),EE3-1 Crusher(N),extinguisher,Dry Chemical,ซ่อมไฟฟ้า,2019,PLANT3-EE3-C1-1-22No.1,thailand,plant3
Sub Raw Mill Storage,th,Active,2021,ซ่อมไฟฟ้า 1 (Crusher),EE3-1 Crusher(N),extinguisher,Dry Chemical,ซ่อมไฟฟ้า,2016,PLANT3-EE3-C1-1-23No.1,thailand,plant3
