site,type,country,bu,id,kind,name,sitename,place,location,owner,plantname
log,extinguisher,thailand,th,LOG-OL-SRT-FE-027,Dry chemical,,,,ท่าเทียบเรือ,ศูนย์กระจายสินค้าสุราษฎร์ธานี,
log,extinguisher,thailand,th,LOG-PK-PLOC.013,Dry chemical/Non CFC,,,อาคารจุดออกเอกสาร K.16,ศบล.ชั้น 1,Dispatching,
log,extinguisher,thailand,th,LOG-PK-PLOC.019,Dry chemical,,,อาคารจุด Gat-Out ( Y.2 ) ช่องที่ 3,ศบล.ชั้น 1,Dispatching,
log,extinguisher,thailand,th,LOG-PLOC.038,Dry chemical,,,อาคาร Y ชั้น 2,ศบล.ชั้น 2,Dispatching,
log,extinguisher,thailand,th,LOG-PLOC.044,Dry chemical,,,ร้านที่ 2 ร้านขายข้าวมันไก่,ศบล.ชั้น 1,Dispatching,
log,extinguisher,thailand,th,LOG-PP2-1-001,Dry chemical,,,ภายในอาคาร Big Bag T1.,Packing 2ชั้น 1,Packing,
log,extinguisher,thailand,th,LOG-PP2-1-006,Dry chemical,,,หน้าห้องควบคุมไฟฟ้า T1.,Packing 2ชั้น 1,Packing,
log,extinguisher,thailand,th,LOG-PP2-1-010,Dry chemical,,,หน้าช่องจ่ายปูนผงใต้ Silo 11,Packing 2ชั้น 1,Packing,
log,extinguisher,thailand,th,LOG-PP2-1-060,Dry chemical,,,เสาหน้าบันไดขึ้นอาคารห้องควบคุม T2.,Packing 2ชั้น 1,Packing,
log,extinguisher,thailand,th,LOG-PP2-1-061,Dry chemical,,,เสาหน้าช่องจ่ายปูนถุง 12 - 13 T2.,Packing 2ชั้น 1,Packing,
log,extinguisher,thailand,th,LOG-PP2-1-064,Dry chemical,,,เสาช่องจ่ายปูนผงใต้ Silo 15,Packing 2ชั้น 1,Packing,
log,extinguisher,thailand,th,LOG-PP2-3-068,Dry chemical,,,เสาระหว่าง Roto 6 - 7,Packing 2ชั้น 3,Packing,
log,extinguisher,thailand,th,LOG-PP2-4-072,Dry chemical,,,ผนังอาคารทางขนถุงเข้า - ออก ลิฟท์,Packing 2ชั้น 4,Packing,
log,extinguisher,thailand,th,LOG-PP2-4-073,Dry chemical,,,ผนังอาคารทางขนถุงเข้า - ออก ลิฟท์,Packing 2ชั้น 4,Packing,
log,extinguisher,thailand,th,LOG-PP2-7-076,Dry chemical,,,ติดประตูทางเข้าชั้นที่ 7,Packing 2ชั้น 7,Packing,
log,extinguisher,thailand,th,LOG-DRF-BMP2-02,Dry chemical,,,อาคารเก็บม้วนกระดาษ เสาที่3 Packing2,Packing 2ชั้น 1,Packing,
log,extinguisher,thailand,th,LOG-DRF-BMP2-04,Dry chemical,,,อาคารเก็บม้วนกระดาษ เสาที่7 Packing2,Packing 2ชั้น 1,Packing,
log,extinguisher,thailand,th,LOG-DFR-PP3-007,Dry chemical,,,หน้าห้อง Compressor,Packing 3ชั้น,Packing,
log,extinguisher,thailand,th,LOG-DFR-PP3-019,Dry chemical,,,หน้าช่องจ่ายที่ 4,Packing 3ชั้น,Packing,
log,extinguisher,thailand,th,LOG-DFR-PP3-034,Dry chemical,,,หน้าห้อง Compressor,Packing 3ชั้น,Packing,
log,extinguisher,thailand,th,LOG-DFR-PP3-041,Dry chemical,,,เสากลางอาคาร WH,Packing 3ชั้น,Packing,
log,extinguisher,thailand,th,LOG-DFR-PP3-049,Dry chemical,,,หน้าช่องจ่ายที่ 25,Packing 3ชั้น,Packing,
log,extinguisher,thailand,th,LOG-DFR-PP3-055,Dry chemical,,,warehouse floor 2,Packing 3ชั้น,Packing,
log,extinguisher,thailand,th,LOG-EE-012,Non CFC,,,ห้อง Sup k 6,Packing 3ชั้น,Packing,
log,extinguisher,thailand,th,LOG-EE-017,Dry chemical,,,อาคาร ตราม้า,Packing 3ชั้น,Packing,
log,extinguisher,thailand,th,LOG-DFR-ME3-002,Dry chemical,,,WORKSHOP Packing 3,Packing 3ชั้น,Packing,
log,extinguisher,thailand,th,LOG-HRF-BMP-005,CO2,,,ชั้น 4 บริเวณเครื่อง Bottomer K5,Packaging K5ชั้น 4,Packaging,
log,extinguisher,thailand,th,LOG-HRF-BMP-009,CO2,,,ชั้น 4 บริเวณเครื่อง Tuber K5,Packaging K5ชั้น 4,Packaging,
log,extinguisher,thailand,th,LOG-DRF-BMP-003,Dry chemical,,,ชั้น 1 ด้านหน้าทางเข้าอาคารเก็บม้วนกระดาษ K5 ข้างลิฟท์ขนถุงขวามือ,Packaging K5ชั้น 1,Packaging,
log,extinguisher,thailand,th,LOG-DRF-BMP-007,Dry chemical,,,ชั้น 4 ด้านในที่เก็บถุง K5,Packaging K5ชั้น 4,Packaging,
log,extinguisher,thailand,th,LOG-DRF-BMP-016,Dry chemical,,,ชั้น 1 ประตูทางเข้าอาคารเก็บม้วนกระดาษด้านข้างช่องจ่าย 18,Packaging K5ชั้น 4,Packaging,
log,extinguisher,thailand,th,LOG-FHC-PP3-004,Fire Pump,,,ชั้น4หน้าทางเข้าแผนกผลิตถุง K5,Packaging K5,Packing,
log,extinguisher,thailand,th,LOG-FHC-PP3-009,Fire Pump,,,ชั้น4Magazine13 K6,Packaging K6,Packing,
log,extinguisher,thailand,th,LOG-FHC-PP3-013,Fire Pump,,,ชั้น3 บริเวณด้านข้างห้องน้ำ - office ตราม้า,ห้องน้ำ office ตราม้า,Packing,
log,extinguisher,thailand,th,LOG-FE-LB-03,Dry Chemical,,,หน้าห้องทดสอบ,"EBKK, Lab Bangna",CTC,
log,extinguisher,thailand,th,LOG-FE.OB.G.01,CO2,,,ทางเข้าสำนักงาน,"ITSC, Metro",CTC,
log,extinguisher,thailand,th,LOG-FE.OB.2.06,Dry Chemical,,,ฝั่งTelecon.,"ITSC, Metro",CTC,
log,extinguisher,thailand,th,LOG-FE.WH.1.01,Dry Chemical,,,หน้าโกดังCTC,"ITSC, Metro",CTC,
log,extinguisher,thailand,th,LOG-FE.OB.G.00,Dry Chemical,,,ป้อม รปภ. หน้าประตูทางเข้า,"ITSC, Metro",CTC,
log,extinguisher,thailand,th,LOG-OL-FE-003,Dry chemical,,,อาคารศูนย์บริการลูกค้าชั้น 2,ศูนย์บริการลูกค้า ชั้น 2,ศูนย์บริการลูกค้า,
log,extinguisher,thailand,th,LOG-UDC-FE-006,Dry chemical,,,คลังสินค้าประตูหลัง,คลังสินค้าอุดรธานี ชั้น 1,คลังสินค้าอุดรธานี,
log,extinguisher,thailand,th,LOG-SCCC-MHE-001,Dry chemical,,,อาคารคลังพาเลท,คลังพาเลท ชั้น 1,คลังพาเลท,
