site,id,country,remark,yRegister,type,driverName,kind,details,area,bu,department,status,holder
log,ชร70-9229,thailand,,,bag,,,,,th,,,
log,ชร71-0751,thailand,,,bag,,,,,th,,,
log,ชร71-0752,thailand,,,bag,,,,,th,,,
log,ชพ70-5200,thailand,,,bag,,,,,th,,,
log,กท79-9059,thailand,,,bag,,,,,th,,,
log,สบ71-5445,thailand,,,bag,,,,,th,,,
log,สบ72-6162,thailand,,,bag,,,,,th,,,
log,นฐ72-6158,thailand,,,bag,,,,,th,,,
log,สบ71-9595,thailand,,,bag,,,,,th,,,
log,มค82-2241,thailand,,,bag,,,,,th,,,
log,กท64-4496,thailand,,,bag,,,,,th,,,
log,กพ70-3994,thailand,,,bag,,,,,th,,,
log,นว70-6774,thailand,,,bag,,,,,th,,,
log,พช82-8565,thailand,,,bag,,,,,th,,,
log,นว70-2727,thailand,,,bag,,,,,th,,,
log,สบ72-0914,thailand,,,bag,,,,,th,,,
log,อย70-2330,thailand,,,bag,,,,,th,,,
log,อย70-2323,thailand,,,bag,,,,,th,,,
log,สค71-1212,thailand,,,bag,,,,,th,,,
log,กท67-3720,thailand,,,bag,,,,,th,,,
log,อด70-6151,thailand,,,bag,,,,,th,,,
log,ปข70-3418,thailand,,,bag,,,,,th,,,
log,ปข70-3457,thailand,,,bag,,,,,th,,,
log,กท71-8904,thailand,,,bag,,,,,th,,,
log,สบ83-7342,thailand,,,bag,,,,,th,,,
log,กท60-9630,thailand,,,bag,,,,,th,,,
log,อด70-5730,thailand,,,bag,,,,,th,,,
log,ขก70-9913,thailand,,,bag,,,,,th,,,
log,ชน70-2682,thailand,,,bag,,,,,th,,,
log,ชน70-2674,thailand,,,bag,,,,,th,,,
log,ชน70-1734,thailand,,,bag,,,,,th,,,
log,นว71-1189,thailand,,,bag,,,,,th,,,
log,กบ70-1509,thailand,,,bag,,,,,th,,,
log,นว71-1872,thailand,,,bag,,,,,th,,,
log,ปจ81-6448,thailand,,,bag,,,,,th,,,
log,ชย82-7130,thailand,,,bag,,,,,th,,,
log,สบ71-5995,thailand,,,bag,,,,,th,,,
log,สบ71-2222,thailand,,,bag,,,,,th,,,
log,สบ72-6123,thailand,,,bag,,,,,th,,,
log,ปท71-6836,thailand,,,bag,,,,,th,,,
log,ชร70-6820,thailand,,,bag,,,,,th,,,
log,ชร71-0851,thailand,,,bag,,,,,th,,,
log,ชร71-0809,thailand,,,bag,,,,,th,,,
log,มค82-2105,thailand,,,bag,,,,,th,,,
log,อด70-2437,thailand,,,bag,,,,,th,,,
log,กท60-2763,thailand,,,bag,,,,,th,,,
log,ลป70-7222,thailand,,,bag,,,,,th,,,
log,อย70-3061,thailand,,,bag,,,,,th,,,
log,ลพ70-2347,thailand,,,bag,,,,,th,,,
log,สบ72-0916,thailand,,,bag,,,,,th,,,
log,นว71-0319,thailand,,,bag,,,,,th,,,
log,กท67-4035,thailand,,,bag,,,,,th,,,
log,ปข70-3824,thailand,,,bag,,,,,th,,,
log,ปข70-5493,thailand,,,bag,,,,,th,,,
log,ปข70-5258,thailand,,,bag,,,,,th,,,
log,กท65-1644,thailand,,,bag,,,,,th,,,
log,สบ72-1548,thailand,,,bag,,,,,th,,,
log,อด70-2225,thailand,,,bag,,,,,th,,,
log,กท68-7542,thailand,,,bag,,,,,th,,,
log,สบ72-3640,thailand,,,bag,,,,,th,,,
log,สบ71-9759,thailand,,,bag,,,,,th,,,
log,กท68-7538,thailand,,,bag,,,,,th,,,
log,กท68-7532,thailand,,,bag,,,,,th,,,
log,นว70-9686,thailand,,,bag,,,,,th,,,
log,ชน70-3188,thailand,,,bag,,,,,th,,,
log,ชร70-9221,thailand,,,bag,,,,,th,,,
log,ขก70-9898,thailand,,,bag,,,,,th,,,
log,สบ71-8391,thailand,,,bag,,,,,th,,,
log,นว71-0184,thailand,,,bag,,,,,th,,,
log,สบ72-1746,thailand,,,bag,,,,,th,,,
log,สบ73-0163,thailand,,,bag,,,,,th,,,
log,สบ73-0153,thailand,,,bag,,,,,th,,,
log,อด70-4855,thailand,,,bag,,,,,th,,,
log,นว71-0194,thailand,,,bag,,,,,th,,,
log,สบ73-0154,thailand,,,bag,,,,,th,,,
log,ชร71-1636,thailand,,,bag,,,,,th,,,
log,ชร71-0899,thailand,,,bag,,,,,th,,,
log,ชร70-6962,thailand,,,bag,,,,,th,,,
log,ชร70-9450,thailand,,,bag,,,,,th,,,
log,ชร70-9398,thailand,,,bag,,,,,th,,,
log,สฎ70-9646,thailand,,,bag,,,,,th,,,
log,กท60-2613,thailand,,,bag,,,,,th,,,
log,สบ72-7734,thailand,,,bag,,,,,th,,,
log,กท67-4280,thailand,,,bag,,,,,th,,,
log,สฎ70-5592,thailand,,,bag,,,,,th,,,
log,กท63-7833,thailand,,,bag,,,,,th,,,
log,นว71-0267,thailand,,,bag,,,,,th,,,
log,ปข70-3762,thailand,,,bag,,,,,th,,,
log,นว71-2386,thailand,,,bag,,,,,th,,,
log,สบ73-0372,thailand,,,bag,,,,,th,,,
log,กท67-4033,thailand,,,bag,,,,,th,,,
log,กท67-3558,thailand,,,bag,,,,,th,,,
log,ปจ81-6513,thailand,,,bag,,,,,th,,,
log,ปจ70-2901,thailand,,,bag,,,,,th,,,
log,อด70-5728,thailand,,,bag,,,,,th,,,
log,ชน70-2097,thailand,,,bag,,,,,th,,,
log,ปจ81-6525,thailand,,,bag,,,,,th,,,
log,ลป70-8738,thailand,,,bag,,,,,th,,,
log,สบ70-9412,thailand,,,bag,,,,,th,,,
log,สฎ70-6308,thailand,,,bag,,,,,th,,,
log,กท60-2612,thailand,,,bag,,,,,th,,,
log,ปท71-6385,thailand,,,bag,,,,,th,,,
log,ชร70-8391,thailand,,,bag,,,,,th,,,
log,ชร71-0920,thailand,,,bag,,,,,th,,,
log,ชร71-1632,thailand,,,bag,,,,,th,,,
log,ชร71-1468,thailand,,,bag,,,,,th,,,
log,ชร70-9231,thailand,,,bag,,,,,th,,,
log,ชร71-1548,thailand,,,bag,,,,,th,,,
log,กบ70-1520,thailand,,,bag,,,,,th,,,
log,อด70-7216,thailand,,,bag,,,,,th,,,
log,สบ72-3602,thailand,,,bag,,,,,th,,,
log,สบ72-4664,thailand,,,bag,,,,,th,,,
log,นว70-8292,thailand,,,bag,,,,,th,,,
log,ลป70-9089,thailand,,,bag,,,,,th,,,
log,อย70-3101,thailand,,,bag,,,,,th,,,
log,กท60-6273,thailand,,,bag,,,,,th,,,
log,ปข70-3858,thailand,,,bag,,,,,th,,,
log,ปข70-3069,thailand,,,bag,,,,,th,,,
log,กท68-7546,thailand,,,bag,,,,,th,,,
log,อด70-6092,thailand,,,bag,,,,,th,,,
log,อด70-7068,thailand,,,bag,,,,,th,,,
log,สห70-1881,thailand,,,bag,,,,,th,,,
log,กท67-3716,thailand,,,bag,,,,,th,,,
log,กท68-7543,thailand,,,bag,,,,,th,,,
log,กท68-7535,thailand,,,bag,,,,,th,,,
log,กท67-3718,thailand,,,bag,,,,,th,,,
log,นว71-1834,thailand,,,bag,,,,,th,,,
log,ชน70-3234,thailand,,,bag,,,,,th,,,
log,สฎ70-5609,thailand,,,bag,,,,,th,,,
log,นภ81-2791,thailand,,,bag,,,,,th,,,
log,ปจ70-1464,thailand,,,bag,,,,,th,,,
log,กท67-2158,thailand,,,bag,,,,,th,,,
log,ลป70-6252,thailand,,,bag,,,,,th,,,
log,นว70-9663,thailand,,,bag,,,,,th,,,
log,สบ72-0425,thailand,,,bag,,,,,th,,,
log,สบ71-0388,thailand,,,bag,,,,,th,,,
log,สบ73-0162,thailand,,,bag,,,,,th,,,
log,ปท71-6693,thailand,,,bag,,,,,th,,,
log,ชร71-1611,thailand,,,bag,,,,,th,,,
log,ชร71-0897,thailand,,,bag,,,,,th,,,
log,ชร71-1634,thailand,,,bag,,,,,th,,,
log,ชร71-0852,thailand,,,bag,,,,,th,,,
log,ชร70-9101,thailand,,,bag,,,,,th,,,
log,สฎ70-7934,thailand,,,bag,,,,,th,,,
log,สบ70-9565,thailand,,,bag,,,,,th,,,
log,อด70-7226,thailand,,,bag,,,,,th,,,
log,นว70-7268,thailand,,,bag,,,,,th,,,
log,สบ72-0912,thailand,,,bag,,,,,th,,,
log,กท61-2418,thailand,,,bag,,,,,th,,,
log,สบบห-931,thailand,,,bag,,,,,th,,,
log,สค71-1215,thailand,,,bag,,,,,th,,,
log,สฎ70-5677,thailand,,,bag,,,,,th,,,
log,สบ72-7329,thailand,,,bag,,,,,th,,,
log,ปข70-3163,thailand,,,bag,,,,,th,,,
log,อย71-6590,thailand,,,bag,,,,,th,,,
log,สบ72-3776,thailand,,,bag,,,,,th,,,
log,กท68-7540,thailand,,,bag,,,,,th,,,
log,กท67-2160,thailand,,,bag,,,,,th,,,
log,นว71-1836,thailand,,,bag,,,,,th,,,
log,ปจ70-2924,thailand,,,bag,,,,,th,,,
log,ชน70-2948,thailand,,,bag,,,,,th,,,
log,ชน70-3186,thailand,,,bag,,,,,th,,,
log,ปจ70-1212,thailand,,,bag,,,,,th,,,
log,ปจ70-1210,thailand,,,bag,,,,,th,,,
log,ชร70-8035,thailand,,,bag,,,,,th,,,
log,สบ72-9839,thailand,,,bag,,,,,th,,,
log,นม85-5755,thailand,,,bag,,,,,th,,,
log,นว71-0186,thailand,,,bag,,,,,th,,,
log,สบ71-1272,thailand,,,bag,,,,,th,,,
log,นภ81-5227,thailand,,,bag,,,,,th,,,
log,สฎ70-9712,thailand,,,bag,,,,,th,,,
log,ชร71-0807,thailand,,,bag,,,,,th,,,
log,ชร71-0896,thailand,,,bag,,,,,th,,,
log,กท61-4485,thailand,,,bag,,,,,th,,,
log,สบ86-4495,thailand,,,bag,,,,,th,,,
log,นว71-0265,thailand,,,bag,,,,,th,,,
log,นฐ71-3330,thailand,,,bag,,,,,th,,,
log,ปจ82-2359,thailand,,,bag,,,,,th,,,
log,นว70-8139,thailand,,,bag,,,,,th,,,
log,กท64-4452,thailand,,,bag,,,,,th,,,
log,อด70-7222,thailand,,,bag,,,,,th,,,
log,กท63-7482,thailand,,,bag,,,,,th,,,
log,กท64-0462,thailand,,,bag,,,,,th,,,
log,สฎ70-5809,thailand,,,bag,,,,,th,,,
log,อด70-5976,thailand,,,bag,,,,,th,,,
log,กบ70-1561,thailand,,,bag,,,,,th,,,
log,สค71-1138,thailand,,,bag,,,,,th,,,
log,กบ70-1249,thailand,,,bag,,,,,th,,,
log,ปข70-6109,thailand,,,bag,,,,,th,,,
log,สค71-1200,thailand,,,bag,,,,,th,,,
log,ขก83-2066,thailand,,,bag,,,,,th,,,
log,นม71-6476,thailand,,,bag,,,,,th,,,
log,กท67-3560,thailand,,,bag,,,,,th,,,
log,สบ71-6767,thailand,,,bag,,,,,th,,,
log,กท65-4458,thailand,,,bag,,,,,th,,,
log,อด70-5734,thailand,,,bag,,,,,th,,,
log,นว70-9661,thailand,,,bag,,,,,th,,,
log,อด70-6751,thailand,,,bag,,,,,th,,,
log,ชน70-2950,thailand,,,bag,,,,,th,,,
log,ปจ70-1214,thailand,,,bag,,,,,th,,,
log,นว70-9659,thailand,,,bag,,,,,th,,,
log,สฎ70-9708,thailand,,,bag,,,,,th,,,
log,สท70-4093,thailand,,,bag,,,,,th,,,
log,ชร71-0895,thailand,,,bag,,,,,th,,,
log,ชร70-9586,thailand,,,bag,,,,,th,,,
log,ชร71-0733,thailand,,,bag,,,,,th,,,
log,สห70-1858,thailand,,,bag,,,,,th,,,
log,ปจ81-6453,thailand,,,bag,,,,,th,,,
log,กท64-4495,thailand,,,bag,,,,,th,,,
log,ปข70-5330,thailand,,,bag,,,,,th,,,
log,นว70-7680,thailand,,,bag,,,,,th,,,
log,นว70-7682,thailand,,,bag,,,,,th,,,
log,มค70-4114,thailand,,,bag,,,,,th,,,
log,สบ71-7848,thailand,,,bag,,,,,th,,,
log,สบ72-0928,thailand,,,bag,,,,,th,,,
log,สบ72-0913,thailand,,,bag,,,,,th,,,
log,ปข70-3483,thailand,,,bag,,,,,th,,,
log,ปข70-3426,thailand,,,bag,,,,,th,,,
log,กท68-7536,thailand,,,bag,,,,,th,,,
log,ลป70-8525,thailand,,,bag,,,,,th,,,
log,ลป70-9036,thailand,,,bag,,,,,th,,,
log,ลป70-8935,thailand,,,bag,,,,,th,,,
log,สบ73-0160,thailand,,,bag,,,,,th,,,
log,สบ73-0164,thailand,,,bag,,,,,th,,,
log,สบ70-9699,thailand,,,bag,,,,,th,,,
log,สบ70-9309,thailand,,,bag,,,,,th,,,
log,นม84-9904,thailand,,,bag,,,,,th,,,
log,ชร70-6822,thailand,,,bag,,,,,th,,,
log,ชร71-0806,thailand,,,bag,,,,,th,,,
log,ชร71-1613,thailand,,,bag,,,,,th,,,
log,ชร70-9230,thailand,,,bag,,,,,th,,,
log,สบ71-0333,thailand,,,bag,,,,,th,,,
log,สบ72-0884,thailand,,,bag,,,,,th,,,
log,อด70-7206,thailand,,,bag,,,,,th,,,
log,สห70-1394,thailand,,,bag,,,,,th,,,
log,กท64-4458,thailand,,,bag,,,,,th,,,
log,กท64-4451,thailand,,,bag,,,,,th,,,
log,กท64-4457,thailand,,,bag,,,,,th,,,
log,กท64-4460,thailand,,,bag,,,,,th,,,
log,กท67-3724,thailand,,,bag,,,,,th,,,
log,สฎ70-5485,thailand,,,bag,,,,,th,,,
log,สบ72-0915,thailand,,,bag,,,,,th,,,
log,อย70-3034,thailand,,,bag,,,,,th,,,
log,บร83-5094,thailand,,,bag,,,,,th,,,
log,กท68-7531,thailand,,,bag,,,,,th,,,
log,อด70-7090,thailand,,,bag,,,,,th,,,
log,กท61-2419,thailand,,,bag,,,,,th,,,
log,อด70-6113,thailand,,,bag,,,,,th,,,
log,สบ71-9412,thailand,,,bag,,,,,th,,,
log,นว71-1832,thailand,,,bag,,,,,th,,,
log,นว70-9014,thailand,,,bag,,,,,th,,,
log,อย70-5403,thailand,,,bag,,,,,th,,,
log,ชร70-8594,thailand,,,bag,,,,,th,,,
log,ลป70-6078,thailand,,,bag,,,,,th,,,
log,ลป70-6076,thailand,,,bag,,,,,th,,,
log,นม84-0879,thailand,,,bag,,,,,th,,,
log,ลป70-7058,thailand,,,bag,,,,,th,,,
log,ชร71-0922,thailand,,,bag,,,,,th,,,
log,ชร70-9506,thailand,,,bag,,,,,th,,,
log,ชร71-1462,thailand,,,bag,,,,,th,,,
log,ชร71-0750,thailand,,,bag,,,,,th,,,
log,ชร70-9232,thailand,,,bag,,,,,th,,,
log,ชร71-0853,thailand,,,bag,,,,,th,,,
log,สบ72-9339,thailand,,,bag,,,,,th,,,
log,ปข70-2495,thailand,,,bag,,,,,th,,,
log,กท60-1693,thailand,,,bag,,,,,th,,,
log,สบ72-0321,thailand,,,bag,,,,,th,,,
log,กท61-4479,thailand,,,bag,,,,,th,,,
log,อย71-6581,thailand,,,bag,,,,,th,,,
log,กท64-4500,thailand,,,bag,,,,,th,,,
log,สบ72-2837,thailand,,,bag,,,,,th,,,
log,นว70-6299,thailand,,,bag,,,,,th,,,
log,สบ72-0918,thailand,,,bag,,,,,th,,,
log,สค71-1205,thailand,,,bag,,,,,th,,,
log,ปข70-6655,thailand,,,bag,,,,,th,,,
log,สบ72-9684,thailand,,,bag,,,,,th,,,
log,กท68-7533,thailand,,,bag,,,,,th,,,
log,ปจ81-6460,thailand,,,bag,,,,,th,,,
log,ชน70-2681,thailand,,,bag,,,,,th,,,
log,ชน70-3221,thailand,,,bag,,,,,th,,,
log,อด70-3034,thailand,,,bag,,,,,th,,,
log,ชร70-8590,thailand,,,bag,,,,,th,,,
log,นว70-8151,thailand,,,bag,,,,,th,,,
log,สฎ70-7932,thailand,,,bag,,,,,th,,,
log,สบ73-0165,thailand,,,bag,,,,,th,,,
log,สบ72-3631,thailand,,,bag,,,,,th,,,
log,อด70-6112,thailand,,,bag,,,,,th,,,
log,ชร71-0938,thailand,,,bag,,,,,th,,,
log,ชร71-1466,thailand,,,bag,,,,,th,,,
log,ชร71-0850,thailand,,,bag,,,,,th,,,
log,ชร71-0732,thailand,,,bag,,,,,th,,,
log,ชพ70-5124,thailand,,,bag,,,,,th,,,
log,สฎ70-9650,thailand,,,bag,,,,,th,,,
log,อย70-3097,thailand,,,bag,,,,,th,,,
log,นฐ71-2583,thailand,,,bag,,,,,th,,,
log,กท69-7700,thailand,,,bag,,,,,th,,,
log,นว70-3207,thailand,,,bag,,,,,th,,,
log,กท64-4450,thailand,,,bag,,,,,th,,,
log,อด70-7218,thailand,,,bag,,,,,th,,,
log,สก81-9447,thailand,,,bag,,,,,th,,,
log,กท73-2364,thailand,,,bag,,,,,th,,,
log,กท64-0841,thailand,,,bag,,,,,th,,,
log,นว70-4052,thailand,,,bag,,,,,th,,,
log,กท68-7544,thailand,,,bag,,,,,th,,,
log,สค71-1194,thailand,,,bag,,,,,th,,,
log,กท67-4852,thailand,,,bag,,,,,th,,,
log,อด70-5736,thailand,,,bag,,,,,th,,,
log,กท67-4276,thailand,,,bag,,,,,th,,,
log,ปจ81-6446,thailand,,,bag,,,,,th,,,
log,ลป70-5183,thailand,,,bag,,,,,th,,,
log,ลป70-5608,thailand,,,bag,,,,,th,,,
log,อย72-0204,thailand,,,bag,,,,,th,,,
