site,type,country,bu,id,kind,owner,place,holder,registerDate,status
cmic,extinguisher,cambodia,cmic,CMIC-SB-CO-03,CO₂,Electrical,Coal Mill Substation,Electrical,,Active
cmic,extinguisher,cambodia,cmic,CMIC-SB-CO-07,CO₂,Electrical,Coal Mill Substation,Electrical,,Active
cmic,extinguisher,cambodia,cmic,CMIC-SB-CO-12,CO₂,Electrical,Coal Mill Substation,Electrical,,Active
cmic,extinguisher,cambodia,cmic,CMIC-SB-CO-14,CO₂,Electrical,Coal Mill Substation,Electrical,,Active
cmic,extinguisher,cambodia,cmic,CMIC-SB-LS-05,CO₂,Electrical,Limestone Substation,Electrical,,Active
cmic,extinguisher,cambodia,cmic,CMIC-SB-AD-10,CO₂,Electrical,Additive Substation,Electrical,,Active
cmic,extinguisher,cambodia,cmic,CMIC-SB-WHR-03,CO₂,Electrical,WHR Substation,Electrical,,Active
cmic,extinguisher,cambodia,cmic,CMIC-SB-WMS-01,CO₂,Electrical,WMS Substation,Electrical,,Active
cmic,extinguisher,cambodia,cmic,CMIC-SB-WMS-02,CO₂,Electrical,WMS Substation,Electrical,,Active
cmic,extinguisher,cambodia,cmic,CMIC-SB-WMS-04,CO₂,Electrical,WMS Substation,Electrical,,Active
cmic,extinguisher,cambodia,cmic,CMIC-SB-WMS-11,CO₂,Electrical,WMS Substation,Electrical,,Active
cmic,extinguisher,cambodia,cmic,CMIC-SB-PH-03,CO₂,Electrical,PH Substation,Electrical,,Active
cmic,extinguisher,cambodia,cmic,CMIC-SB-PH-04,CO₂,Electrical,PH Substation,Electrical,,Active
cmic,extinguisher,cambodia,cmic,CMIC-SB-CC-12,CO₂,Electrical,Coal Crusher Substation,Electrical,,Active
cmic,extinguisher,cambodia,cmic,CMIC-SB-CC-13,CO₂,Electrical,Coal Crusher Substation,Electrical,,Active
cmic,extinguisher,cambodia,cmic,CMIC-SB-Main-Sub-06,CO₂,Electrical,Main Substation,Electrical,,Active
cmic,extinguisher,cambodia,cmic,CMIC-SB-Main-Sub-23,CO₂,Electrical,Main Substation,Electrical,,Active
cmic,extinguisher,cambodia,cmic,CMIC-SB-Main-Sub-25,CO₂,Electrical,Main Substation,Electrical,,Active
cmic,extinguisher,cambodia,cmic,CMIC-SB-Main-Sub-35,CO₂,Electrical,Main Substation,Electrical,,Active
cmic,extinguisher,cambodia,cmic,CMIC-SB-Main-Sub-36,CO₂,Electrical,Main Substation,Electrical,,Active
cmic,extinguisher,cambodia,cmic,CMIC-SB-561-BF1-02,CO₂,Electrical,Cement Mill bacg filter,Electrical,,Active
cmic,extinguisher,cambodia,cmic,CMIC-SB-441-2N1-02,CO₂,Electrical,Gas outlet PH,Electrical,,Active
cmic,extinguisher,cambodia,cmic,CMIC-ECO-04,ABC Powder,ECOCYCLE,Branding Waste Sotrage Area,ECOCYCLE,,Active
cmic,extinguisher,cambodia,cmic,CMIC-ECO-08,Foam,ECOCYCLE,Hazardous Waste Storage Area,ECOCYCLE,,Active
cmic,extinguisher,cambodia,cmic,CMIC-ECO-20,ABC Powder,ECOCYCLE,Wasteria Bunkler Area,ECOCYCLE,,Active
cmic,extinguisher,cambodia,cmic,CMIC-ECO-21,ABC Powder,ECOCYCLE,Wasteria Bunkler Area,ECOCYCLE,,Active
cmic,extinguisher,cambodia,cmic,CMIC-ECO-27,ABC Powder,ECOCYCLE,V8-WF1 Motor of Preheater C4,ECOCYCLE,,Active
cmic,extinguisher,cambodia,cmic,CMIC-ECO-30,ABC Powder,ECOCYCLE,V8-AF1 Motor of Preheater C3,ECOCYCLE,,Active
cmic,extinguisher,cambodia,cmic,CMIC-ECO-31,ABC Powder,ECOCYCLE,V8-AV1 Double Plate Valve,ECOCYCLE,,Active
cmic,extinguisher,cambodia,cmic,CMIC-ECO-34,ABC Powder,ECOCYCLE,Ecoycle AR warehouse,ECOCYCLE,,Active
cmic,extinguisher,cambodia,cmic,CMIC-WH-KS-01,ABC Powder,Ecocycle (Kour Srov),Warehouse Kour srov,Ecocycle (Kour Srov),,Active
cmic,extinguisher,cambodia,cmic,CMIC-WH-KS-02,ABC Powder,Ecocycle (Kour Srov),Warehouse Kour srov,Ecocycle (Kour Srov),,Active
cmic,extinguisher,cambodia,cmic,CMIC-WH-KS-07,CO₂,Ecocycle (Kour Srov),Warehouse Kour srov,Ecocycle (Kour Srov),,Active
cmic,extinguisher,cambodia,cmic,CMIC-PHN-05,ABC Powder,Phnom Penh Office,Infront of meeting room P03,Phnom Penh Office,,Active
cmic,extinguisher,cambodia,cmic,CMIC-SHV-02,CO₂,ECOCYCLE (SHV),SHV Warhdouse next to door,ECOCYCLE (SHV),,Active
cmic,extinguisher,cambodia,cmic,CMIC-SHV-09,ABC Powder,ECOCYCLE (SHV),Electrical Panel,ECOCYCLE (SHV),,Active
cmic,hydrant,cambodia,cmic,CMIC-H-CCR-01,Fire Indoor hydrant,CCR Building,,CCR Building,,
cmic,hydrant,cambodia,cmic,CMIC-H-CCR-02,Fire Indoor hydrant,CCR Building,,CCR Building,,
cmic,hydrant,cambodia,cmic,CMIC-H-CCR-03,Fire Indoor hydrant,CCR Building,,CCR Building,,
cmic,hydrant,cambodia,cmic,CMIC-H-CCR-04,Fire Indoor hydrant,CCR Building,,CCR Building,,
cmic,hydrant,cambodia,cmic,CMIC-H-CCR-05,Fire Indoor hydrant,CCR Building,,CCR Building,,
cmic,hydrant,cambodia,cmic,CMIC-H-CCR-06,Fire Indoor hydrant,CCR Building,,CCR Building,,
cmic,hydrant,cambodia,cmic,CMIC-H-CCR-07,Fire Indoor hydrant,CCR Building,,CCR Building,,
cmic,hydrant,cambodia,cmic,CMIC-H-WHR-01,Fire Indoor hydrant,WHR,,WHR,,
cmic,hydrant,cambodia,cmic,CMIC-H-WHR-02,Fire Indoor hydrant,WHR,,WHR,,
cmic,hydrant,cambodia,cmic,CMIC-H-WHR-03,Fire Indoor hydrant,WHR,,WHR,,
cmic,hydrant,cambodia,cmic,CMIC-H-WHR-04,Fire Indoor hydrant,WHR,,WHR,,
cmic,hydrant,cambodia,cmic,CMIC-H-CoS-01,Fire Indoor hydrant,Coal Mill,,Coal Mill,,
cmic,hydrant,cambodia,cmic,CMIC-H-CoS-02,Fire Indoor hydrant,Coal Mill,,Coal Mill,,
cmic,hydrant,cambodia,cmic,CMIC-H-CoS-03,Fire Indoor hydrant,Coal Mill,,Coal Mill,,
cmic,hydrant,cambodia,cmic,CMIC-H-CoS-04,Fire Indoor hydrant,Coal Mill,,Coal Mill,,
cmic,hydrant,cambodia,cmic,CMIC-H-CoS-05,Fire Indoor hydrant,Coal Mill,,Coal Mill,,
cmic,hydrant,cambodia,cmic,CMIC-H-CoS-06,Fire Indoor hydrant,Coal Mill,,Coal Mill,,
cmic,hydrant,cambodia,cmic,CMIC-H-CoS-07,Fire Indoor hydrant,Coal Mill,,Coal Mill,,
cmic,hydrant,cambodia,cmic,CMIC-H-CoS-08,Fire Indoor hydrant,Coal Mill,,Coal Mill,,
cmic,hydrant,cambodia,cmic,CMIC-H-CoS-09,Fire Indoor hydrant,Coal Mill,,Coal Mill,,
